,Polarization_bool,retweetCount
1586,1,352
1587,1,2949
1588,1,233
1589,-1,934
1590,-1,860
1591,-1,373
1592,-1,621
1593,1,1472
1594,1,1328
1595,-1,686
1596,0,4586
1597,-1,3993
1598,1,516
1599,1,134
1600,1,395
1601,1,519
1602,-1,1817
1603,1,1604
1604,1,1051
1605,1,616
1606,1,293
1607,0,413
1608,1,564
1609,-1,904
1610,-1,19107
1611,-1,928
1612,-1,147
1613,-1,3801
1614,1,612
1615,1,3099
1616,1,903
1617,1,2185
1618,-1,2540
1619,1,1269
1620,-1,5951
1621,-1,499
1622,1,586
1623,-1,1519
1624,-1,453
1625,1,450
1626,1,11053
1627,1,870
1628,1,201
1629,-1,835
1630,0,636
1631,-1,427
1632,1,761
1633,1,7960
1634,0,827
1635,1,1990
1636,1,271
1637,1,4006
1638,1,1277
1639,-1,597
1640,1,195
1641,1,6012
1642,1,3064
1643,-1,600
1644,0,1094
1645,-1,837
1646,1,543
1647,1,1512
1648,1,10168
1649,-1,150
1650,1,4024
1651,-1,595
1652,1,2358
1653,1,1404
1654,1,774
1655,1,2273
1656,-1,596
1657,1,122
1658,1,453
1659,1,862
1660,-1,249
1661,1,872
1662,0,3777
1663,1,1625
1664,-1,692
1665,1,495
1666,1,480
1667,0,387
1668,1,248
1669,1,303
1670,-1,134
1671,-1,366
1672,1,1821
1673,1,442
1674,-1,2298
1675,1,1944
1676,-1,769
1677,1,604
1678,1,779
1679,0,351
1680,1,3241
1681,1,613
1682,1,467
1683,-1,1064
1684,1,15235
1685,1,343
1686,1,644
1687,1,684
1688,1,2911
1689,0,423
1690,-1,390
1691,-1,607
1692,1,2907
1693,0,716
1694,1,841
1695,0,281
1696,0,281
1697,0,1584
1698,0,207
1699,1,1744
1700,1,981
1701,-1,2308
1702,-1,296
1703,1,12228
1704,-1,3123
1705,1,1212
1706,-1,498
1707,1,3768
1708,1,221
1709,-1,6715
1710,1,907
1711,0,693
1712,1,2083
1713,-1,5215
1714,1,1061
1715,0,1408
1716,1,859
1717,0,4375
1718,0,324
1719,-1,351
1720,1,3242
1721,-1,2414
1722,1,700
1723,-1,1673
1724,1,3504
1725,-1,5492
1726,1,332
1727,1,1363
1728,-1,985
1729,1,1030
1730,1,3498
1731,1,1492
1732,1,493
1733,1,1201
1734,-1,6946
1735,1,1230
1736,1,1082
1737,1,1952
1738,1,1426
1739,0,246
1740,1,461
1741,-1,1112
1742,-1,1242
1743,1,548
1744,-1,9056
1745,1,11155
1746,-1,782
1747,-1,3078
1748,1,236
1749,0,16028
1750,-1,805
1751,1,29588
1752,-1,1318
1753,0,430
1754,1,5984
1755,-1,663
1756,-1,387
1757,-1,522
1758,1,891
1759,1,444
1760,1,1601
1761,-1,1215
1762,1,442
1763,1,190
1764,-1,1545
1765,1,9082
1766,-1,391
1767,1,751
1768,1,664
1769,1,301
1770,-1,271
1771,1,481
1772,-1,3406
1773,-1,460
1774,-1,3426
1775,1,244
1776,-1,3733
1777,1,351
1778,-1,632
1779,1,183
1780,-1,795
1781,1,556
1782,1,2772
1783,1,4361
1784,1,3365
1785,0,559
1786,-1,2422
1787,-1,3289
1788,1,536
1789,1,553
1790,1,1018
1791,0,2134
1792,-1,1584
1793,1,1358
1794,-1,2213
