Tweet_number,rawContent,timestamp,ID,replyCount,retweetCount,likeCount
109,"Some #NewYearsEve stats

Donald Trump... in 2018

- lost 10 cabinet members
- lost 65 executive staff
- 18% increase in US trade deficit
- DOW lost 3,000 points, $3 trillion in value from Feb 1st
- exploded deficit to $779 billion 
- 44 campaign rallies 
- 67 golf club visits",2018-12-31 13:15:39+00:00,1.08E+18,112,1797,2702
110,"President Trump’s priorities during this shutdown: thanking the troops in Iraq and working to secure our border in Washington, D.C.
 
Nancy Pelosi’s priority?
 
Her Hawaiian vacation.
 
https://t.co/o90Rm8aQsw",2018-12-31 13:15:00+00:00,1.08E+18,577,932,1954
111,The Trump Administration is now trying to figure out how to cave. From a “Huge Beautiful Wall” to “Slats” to “an unpainted non-contiguous picket fence with hound dogs every 45 miles with lasers on their heads.”,2018-12-31 13:05:54+00:00,1.08E+18,1075,2142,9954
112,"Happy New Year 🎈 
May Trump and his children get everything they deserve in 2019",2018-12-31 13:01:15+00:00,1.08E+18,132,315,1619
113,It’s Donald Trump Jr.’s Birthday. Celebrate With His Most Bada$$ Instagram Photos To Date [SLIDESHOW] https://t.co/iFNosB1DCS via @dailycaller,2018-12-31 13:01:07+00:00,1.08E+18,3387,1371,9060
114,Russian arrests &amp; framing of innocent exMilitary/Intelligence people is officially called #HostileGovernmentDetention. This one is a leverage tool to get Trump to release sorta-spy #MariaButina without a formal spy swap.,2018-12-31 12:26:46+00:00,1.08E+18,152,2808,4558
115,"At midnight, the military-industrial complex about which Dwight Eisenhower warned 58 years ago will be fully realized. A 31-year employee of Boeing—who joined Trump’s team with no military or foreign policy experience—will take charge of the Pentagon.
https://t.co/FlNJ793pnl",2018-12-31 12:06:01+00:00,1.08E+18,329,3704,4456
116,Rural Americans who voted for Trump are being left behind in the economic boom https://t.co/UjcdD40H7w,2018-12-31 12:00:11+00:00,1.08E+18,437,501,687
117,"John Kelly Confirms He Was Lying All Along: The White House Is in Chaos

“In an exit interview, the outgoing chief of staff tries to protect his legacy.”

Unfortunately he will forever have Trumps stank on him.  He will never wash it off. 🧼

#TrumpStank https://t.co/5nEXxRP5tK",2018-12-31 10:24:42+00:00,1.08E+18,252,1139,2525
118,Paul Ryan came to Congress as a Jack Kemp conservative and will depart as a Donald Trump Republican https://t.co/sRCJEI8zvs,2018-12-31 09:30:06+00:00,1.08E+18,443,567,1631
